City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
450,Taggia,IT,62.42,overcast clouds,43.8485,7.8545,Castellaro Golf Resort Hotel
453,Green River,US,61.14,overcast clouds,41.5286,-109.4662,Hampton Inn & Suites Green River
454,Mayumba,GA,77.54,light rain,-3.432,10.6554,LIKWALE LODGE
456,Batticaloa,LK,78.12,overcast clouds,7.7102,81.6924,Grand Star Guest House
458,Ouadda,CF,70.16,broken clouds,8.0777,22.4007,
460,Rincon,US,63.86,broken clouds,32.296,-81.2354,Days Inn Rincon
463,Ponca City,US,73.22,clear sky,36.707,-97.0856,"Holiday Inn Express & Suites Ponca City, an IHG Hotel"
466,Toba,JP,60.8,broken clouds,34.4833,136.85,ホテル アルティア鳥羽
467,Ericeira,PT,70.79,overcast clouds,38.9627,-9.4156,HOTEL PEDRO O PESCADOR
470,Vanimo,PG,77.77,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
471,Houma,US,70.0,few clouds,29.5958,-90.7195,Courtyard by Marriott Houma
475,San Jose,US,74.08,broken clouds,37.3394,-121.895,The Westin San Jose
477,Porbandar,IN,77.23,few clouds,21.6422,69.6093,Lords Inn Porbandar
478,Khorramshahr,IR,78.75,scattered clouds,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
480,Sanghar,PK,71.67,clear sky,26.0466,68.9481,Goklani House گوکلانی ہائوس
487,Saldanha,ZA,61.32,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
489,Morondava,MG,75.99,broken clouds,-20.2833,44.2833,La Case Bambou
491,Lompoc,US,76.14,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
495,Marawi,PH,66.65,scattered clouds,7.9986,124.2928,Derogongan Residence
